DayofYear,Alaska,Washington,Montana,North Dakota,Minnesota,Wisconsin,Michigan,New York,Vermont,New Hampshire,Maine,Oregon,Idaho,Wyoming,South Dakota,Nebraska,Iowa,Illinois,Indiana,Ohio,Pennsylvania,Connecticut,Rhode Island,Massachusetts,California,Nevada,Utah,Colorado,Kansas,Missouri,Kentucky,West Virginia,Virginia,District Of Columbia,Maryland,Delaware,New Jersey,Arizona,New Mexico,Texas,Oklahoma,Arkansas,Tennessee,Louisiana,Mississippi,Alabama,Florida,Georgia,South Carolina,North Carolina,Puerto Rico,Virgin Islands,Hawaii
1.0,52.5,67.5,67.71428571428571,-9999.0,18.846153846153847,25.2,29.88888888888889,47.53846153846154,40.0,50.333333333333336,41.25,72.55,62.0,47.0,19.666666666666668,43.0,33.3,37.5,37.166666666666664,30.647058823529413,43.125,44.75,37.333333333333336,44.7,85.82051282051282,70.0,55.142857142857146,54.0,75.0,36.44444444444444,29.333333333333332,21.0,22.666666666666668,48.0,39.0,38.0,40.6,50.8,48.666666666666664,31.2,49.0,51.0,60.25,47.0,51.75,54.75,37.64705882352941,55.21052631578947,75.85714285714286,53.285714285714285,-9999.0,-9999.0,64.5
2.0,50.75,57.17857142857143,56.714285714285715,24.0,24.75,36.09090909090909,39.2,50.857142857142854,30.0,49.0,43.333333333333336,76.19047619047619,60.8,49.5,28.25,56.5,52.9,40.2,54.666666666666664,45.5,52.73913043478261,38.75,35.333333333333336,37.8,80.53846153846153,68.75,64.75,56.0,83.0,59.0,35.18181818181818,43.0,34.75,41.0,43.111111111111114,44.0,41.57142857142857,43.5,37.0,20.055555555555557,44.875,-9999.0,41.25,40.0,41.5,44.0,33.92857142857143,40.36842105263158,40.57142857142857,44.65,-9999.0,-9999.0,15.5
3.0,56.5,60.3448275862069,33.1,-9999.0,45.5,65.42857142857143,48.473684210526315,41.13333333333333,30.5,39.5,41.5,70.86363636363636,66.0,31.5,37.6,42.0,63.785714285714285,35.18181818181818,36.166666666666664,38.18181818181818,61.2,43.75,13.5,35.2,83.88372093023256,75.0,72.55555555555556,33.166666666666664,64.66666666666667,32.27272727272727,24.666666666666668,38.27272727272727,39.0,67.0,60.333333333333336,64.33333333333333,44.53846153846154,55.0,16.857142857142858,22.928571428571427,31.285714285714285,24.5,25.0,22.625,30.714285714285715,25.1875,31.352941176470587,27.833333333333332,36.375,36.607142857142854,-9999.0,17.0,20.5
4.0,107.0,46.370370370370374,42.0,32.5,23.384615384615383,31.181818181818183,26.428571428571427,35.0,22.0,40.5,28.666666666666668,57.142857142857146,68.4,45.0,19.0,17.0,37.1,31.0,28.0,20.066666666666666,39.0625,36.75,5.5,34.0,85.97435897435898,73.75,74.0,65.0,-9999.0,27.714285714285715,19.636363636363637,24.0,15.5,-9999.0,27.25,28.0,24.0,54.5,58.666666666666664,33.09090909090909,26.333333333333332,28.0,22.5,28.8,32.0,14.333333333333334,26.7,15.722222222222221,17.666666666666668,18.41176470588235,-9999.0,-9999.0,19.5
5.0,128.0,29.814814814814813,35.0,29.666666666666668,35.666666666666664,31.363636363636363,28.142857142857142,36.30769230769231,15.0,-9999.0,21.0,49.80952380952381,81.33333333333333,33.0,30.0,32.5,38.8,30.0,30.133333333333333,23.11764705882353,36.333333333333336,23.0,14.0,16.5,76.94444444444444,71.0,74.75,72.0,-9999.0,22.333333333333332,23.25,21.0,17.166666666666668,-9999.0,23.875,-9999.0,33.5,67.0,62.333333333333336,27.77777777777778,23.666666666666668,-9999.0,29.666666666666668,37.625,36.75,41.57142857142857,29.75,27.36842105263158,22.0,23.0625,-9999.0,-9999.0,20.0
6.0,74.0,39.888888888888886,34.69230769230769,35.333333333333336,35.833333333333336,44.333333333333336,28.4375,43.214285714285715,23.5,32.0,44.333333333333336,60.0,82.16666666666667,24.8,24.666666666666668,26.571428571428573,47.142857142857146,39.42857142857143,38.43478260869565,35.22727272727273,50.083333333333336,36.25,31.0,39.5,80.8780487804878,66.25,64.1,37.90909090909091,39.333333333333336,36.09090909090909,30.4,27.181818181818183,23.76923076923077,42.0,43.666666666666664,52.333333333333336,40.09090909090909,44.6,24.555555555555557,35.5,32.63636363636363,33.25,31.933333333333334,47.45454545454545,42.833333333333336,34.64705882352941,34.916666666666664,35.44,29.0,30.785714285714285,-9999.0,18.5,38.0
7.0,87.25,37.16,56.42857142857143,39.0,26.76923076923077,28.0,27.0,46.0,36.0,50.666666666666664,54.0,56.80952380952381,52.5,42.0,16.0,35.0,38.77777777777778,45.0,35.625,28.11111111111111,52.5,43.666666666666664,39.333333333333336,45.4,78.23529411764706,58.0,84.0,49.666666666666664,-9999.0,28.0,24.571428571428573,17.0,27.571428571428573,44.0,34.142857142857146,43.0,41.0,56.0,17.0,31.833333333333332,31.75,-9999.0,41.0,38.166666666666664,30.333333333333332,32.857142857142854,33.0,27.444444444444443,32.0,29.789473684210527,-9999.0,-9999.0,37.0
8.0,76.5,37.04,59.5,28.0,28.416666666666668,28.727272727272727,29.75,42.0,29.0,42.0,43.333333333333336,50.285714285714285,35.2,42.0,20.0,24.0,40.75,38.5,38.76470588235294,30.23076923076923,39.05882352941177,28.5,24.0,35.333333333333336,88.14285714285714,58.75,94.875,59.0,41.0,35.0,19.0,33.0,16.4,-9999.0,24.166666666666668,-9999.0,27.75,41.5,45.0,21.428571428571427,29.0,-9999.0,29.333333333333332,36.4,24.0,39.0,32.5,30.705882352941178,26.6,22.5,-9999.0,-9999.0,25.0
9.0,54.4,39.81481481481482,40.666666666666664,-9999.0,19.785714285714285,21.6,25.214285714285715,43.857142857142854,24.5,51.666666666666664,44.0,50.61904761904762,54.857142857142854,38.8,26.25,24.285714285714285,32.0,39.125,27.458333333333332,31.7,40.95,42.4,36.0,43.7,83.26666666666667,64.25,83.33333333333333,39.2,11.0,26.6,23.636363636363637,24.444444444444443,26.533333333333335,37.0,31.555555555555557,34.333333333333336,37.1,34.333333333333336,23.75,27.823529411764707,20.25,30.0,26.714285714285715,41.2,30.857142857142858,40.5625,43.47826086956522,44.0,44.285714285714285,32.74074074074074,-9999.0,24.0,22.0
10.0,68.5,51.92,62.888888888888886,30.0,34.357142857142854,34.27272727272727,35.3,49.642857142857146,46.0,55.666666666666664,48.5,56.666666666666664,57.2,42.5,19.0,27.0,41.75,37.2,44.6875,35.470588235294116,48.44,46.5,50.0,48.333333333333336,95.2051282051282,62.5,83.22222222222223,59.0,40.0,36.125,28.875,30.0,41.875,58.0,44.0,48.0,40.857142857142854,37.166666666666664,36.666666666666664,24.7,33.166666666666664,-9999.0,50.0,40.22222222222222,37.75,33.2,49.4,36.526315789473685,38.8,38.666666666666664,-9999.0,-9999.0,17.0
